product,response value,response,sentiment compound,lemm,question
Chobani Smooth,9,"It has a very smooth texture, not powdery or clumpy.  I like that it only has natural coloringing.  I like that there isn't fruit on the bottom or fruit pieces in it, so I don't have to mix it before I eat it...I can just eat it!  It's not too sweet and it has the ideal strawberry flavor to it.  It's thick, so it feels like I'm eating greek yogurt.  The price is a good deal.",92.03,"['smooth', 'texture', 'powdery', 'clumpy', 'like', 'natural', 'color', 'like', 'isnt', 'fruit', 'bottom', 'fruit', 'piece', 'dont', 'mix', 'eat', 'iti', 'eat', 'sweet', 'ideal', 'strawberry', 'flavor', 'thick', 'feel', 'like', 'im', 'eat', 'greek', 'yogurt', 'price', 'good', 'deal']",Liking
Chobani Smooth,3,Creamy,0,['creamy'],Liking
Chobani Smooth,9,I like the flavor and the smoothness,36.12,"['like', 'flavor', 'smoothness']",Liking
Chobani Smooth,7,"packaging is very appealing, tasted pretty good for low fat",64.44,"['package', 'appeal', 'taste', 'pretty', 'good', 'low', 'fat']",Liking
Chobani Smooth,6,"Wide container cup design, real fruit pieces, texture, 25% less sugar 2x more protein advertised on product, Chobani smooth low-fat classic yogurt description",0,"['wide', 'container', 'cup', 'design', 'real', 'fruit', 'piece', 'texture', '25', 'less', 'sugar', '2x', 'protein', 'advertise', 'product', 'chobani', 'smooth', 'lowfat', 'classic', 'yogurt', 'description']",Liking
Chobani Smooth,5,Creamy texture.  Strawberry flavor.,0,"['creamy', 'texture', 'strawberry', 'flavor']",Liking
Chobani Smooth,7,"Flavor, consistancy",0,"['flavor', 'consistancy']",Liking
Chobani Smooth,8,"creamy, smooth",0,"['creamy', 'smooth']",Liking
Chobani Smooth,8,the creaminess of the yogurt.,0,"['creaminess', 'yogurt']",Liking
Chobani Smooth,8,"It is nice, smooth and thick texture.",42.15,"['nice', 'smooth', 'thick', 'texture']",Liking
Chobani Smooth,7,It is very smooth and creamy.,0,"['smooth', 'creamy']",Liking
Chobani Smooth,8,"great flavor, smooth and easy to eat",79.06,"['great', 'flavor', 'smooth', 'easy', 'eat']",Liking
Chobani Smooth,3,I liked the shape of the bowl/container.  It was easier to eat out of and I felt like I had more yogurt than the Yoplait I usually have.,79.64,"['liked', 'shape', 'bowlcontainer', 'easy', 'eat', 'felt', 'like', 'yogurt', 'yoplait', 'usually']",Liking
Chobani Smooth,8,Right amount of strawberry flavor.,0,"['right', 'amount', 'strawberry', 'flavor']",Liking
Chobani Smooth,8,"Perfect size for a snack, also easy to use container for children. I refilled it for my little one and there was no spills.",65.97,"['perfect', 'size', 'snack', 'also', 'easy', 'use', 'container', 'child', 'refill', 'little', 'one', 'spill']",Liking
Chobani Smooth,7,"It wasn't overly sweet, had a light texture to it.",-35.7,"['wasnt', 'overly', 'sweet', 'light', 'texture']",Liking
Chobani Smooth,9,"very smooth, great taste.  Love the tartness, it's a little subtle but definitely there",81.48,"['smooth', 'great', 'taste', 'love', 'tartness', 'little', 'subtle', 'definitely']",Liking
Chobani Smooth,7,Flavor,0,['flavor'],Liking
Chobani Smooth,8,texture and taste,0,"['texture', 'taste']",Liking
Chobani Smooth,4,the creamy texture,0,"['creamy', 'texture']",Liking
Chobani Smooth,7,it is smooth and texture is good,44.04,"['smooth', 'texture', 'good']",Liking
Chobani Smooth,9,taste and smoothness,0,"['taste', 'smoothness']",Liking
Chobani Smooth,8,The texture is smooth and it was very flavorful. The strawberries were good too,44.04,"['texture', 'smooth', 'flavorful', 'strawberry', 'good']",Liking
Chobani Smooth,8,"good taste, smooth consistency. not too tart",44.04,"['good', 'taste', 'smooth', 'consistency', 'tart']",Liking
Chobani Smooth,7,Tastes pretty good. I like strawberry.,82.25,"['taste', 'pretty', 'good', 'like', 'strawberry']",Liking
Chobani Smooth,8,Smooth texture and good strawberry taste.,44.04,"['smooth', 'texture', 'good', 'strawberry', 'taste']",Liking
Chobani Smooth,8,It is smooth and creamy. It has a good strawberry flavor.,44.04,"['smooth', 'creamy', 'good', 'strawberry', 'flavor']",Liking
Chobani Smooth,7,It tasted like greek yogurt but it wasn't. It wasn't quite as thick as a greek yogurt.,19.01,"['taste', 'like', 'greek', 'yogurt', 'wasnt', 'wasnt', 'quite', 'thick', 'greek', 'yogurt']",Liking
Chobani Smooth,7,Lot's of strawberry flavor and was not tart at all.,0,"['lot', 'strawberry', 'flavor', 'tart']",Liking
Chobani Smooth,7,"Good taste, not bland.",44.04,"['good', 'taste', 'bland']",Liking
Chobani Smooth,3,The creaminess,0,['creaminess'],Liking
Chobani Smooth,7,#NAME?,0,['name'],Liking
Chobani Smooth,7,creamy texture,0,"['creamy', 'texture']",Liking
Chobani Smooth,8,It's texture and taste,0,"['texture', 'taste']",Liking
Chobani Smooth,8,"Creamy,lots of fruit",0,"['creamylots', 'fruit']",Liking
Chobani Smooth,7,It was mostly smooth. I got 2 small chunks. I like the 11 gm of protein. It's lowfat.,36.12,"['mostly', 'smooth', 'get', '2', 'small', 'chunk', 'like', '11', 'gm', 'protein', 'lowfat']",Liking
Chobani Smooth,2,not lumpy,0,['lumpy'],Liking
Chobani Smooth,8,This product was creamy and a great color.,62.49,"['product', 'creamy', 'great', 'color']",Liking
Chobani Smooth,3,creamy,0,['creamy'],Liking
Chobani Smooth,6,good strawberry flavor,44.04,"['good', 'strawberry', 'flavor']",Liking
Chobani Smooth,9,I really like how smooth and creamy it is.,42.01,"['really', 'like', 'smooth', 'creamy']",Liking
Chobani Smooth,3,smell and color,0,"['smell', 'color']",Liking
Chobani Smooth,7,"I thought that the taste was very good, not too sweet.",18.11,"['think', 'taste', 'good', 'sweet']",Liking
Chobani Smooth,7,Nice flavor like the smooth texture very creamy.,64.86,"['nice', 'flavor', 'like', 'smooth', 'texture', 'creamy']",Liking
Chobani Smooth,7,was tasty,0,['tasty'],Liking
Chobani Smooth,3,Attractive packaging and easy open container,70.03,"['attractive', 'packaging', 'easy', 'open', 'container']",Liking
Chobani Smooth,5,I liked the creamy smoothness-thick without being pasty,42.15,"['like', 'creamy', 'smoothnessthick', 'without', 'pasty']",Liking
Chobani Smooth,8,the smoothness of the texture,0,"['smoothness', 'texture']",Liking
Chobani Smooth,6,Good fruit flavor.  Wasn't overly sweet.,10.78,"['good', 'fruit', 'flavor', 'wasnt', 'overly', 'sweet']",Liking
Chobani Smooth,8,texture is very creamy  has a nice strawberry flavor,47.03,"['texture', 'creamy', 'nice', 'strawberry', 'flavor']",Liking
Chobani Smooth,9,"Great tasting, Chunks of strawberries, smooth texture and no bad after taste.",-15.31,"['great', 'taste', 'chunk', 'strawberry', 'smooth', 'texture', 'bad', 'taste']",Liking
Chobani Smooth,8,I liked the strawberry flavor and the little tiny chunks of strawberries in it .,42.15,"['like', 'strawberry', 'flavor', 'little', 'tiny', 'chunk', 'strawberry']",Liking
Chobani Smooth,8,"Good amount of strawberry flavor, very creamy and smooth",44.04,"['good', 'amount', 'strawberry', 'flavor', 'creamy', 'smooth']",Liking
Chobani Smooth,6,"creaminess, smoothness",0,"['creaminess', 'smoothness']",Liking
Chobani Original,4,I thought it would be bigger chunks of fruit since it says fruit on the bottom. It's mainly juice and small pieces of fruit at the bottom.,0,"['thought', 'would', 'big', 'chunk', 'fruit', 'since', 'say', 'fruit', 'bottom', 'mainly', 'juice', 'small', 'piece', 'fruit', 'bottom']",Meets Expectation
Chobani Smooth,4,None,0,['none'],Meets Expectation
Chobani Original,3,I think the packaging shows everything this yogurt encompasses. I like the lettering that tell there is fruit on the bottom.,36.12,"['think', 'packaging', 'show', 'everything', 'yogurt', 'encompasses', 'like', 'letter', 'tell', 'fruit', 'bottom']",Meets Expectation
Chobani Smooth,5,"It said low fat, but didn't taste like low fat.  Was very impressed by the taste.",-7.1,"['say', 'low', 'fat', 'didnt', 'taste', 'like', 'low', 'fat', 'impress', 'taste']",Meets Expectation
Chobani Original,3,120 calories for nonfat yogurt seems like a lot.  Some of the wording was so small on the container I couldn't read it-under the pictures where it says Keep It Real.,36.12,"['120', 'calorie', 'nonfat', 'yogurt', 'seem', 'like', 'lot', 'word', 'small', 'container', 'couldnt', 'read', 'itunder', 'picture', 'say', 'keep', 'real']",Meets Expectation
Chobani Smooth,3,The content label was difficult to read and hard to find.,-44.04,"['content', 'label', 'difficult', 'read', 'hard', 'find']",Meets Expectation
Chobani Original,4,"The average price is higher than expected, by about $0.20. This packaging isn't much different than the regular Chobani yogurt, so maybe to help stand out that this product has fruit on the bottom would be helpful.",69.69,"['average', 'price', 'higher', 'expect', '020', 'packaging', 'isnt', 'much', 'different', 'regular', 'chobani', 'yogurt', 'maybe', 'help', 'stand', 'product', 'fruit', 'bottom', 'would', 'helpful']",Meets Expectation
Chobani Smooth,4,"The package said it was regular yogurt, but it tasted like greek yogurt.",50.23,"['package', 'say', 'regular', 'yogurt', 'taste', 'like', 'greek', 'yogurt']",Meets Expectation
Chobani Original,4,Try to communicate that the yogurt is Greek style but is creamy!,0,"['try', 'communicate', 'yogurt', 'greek', 'style', 'creamy']",Meets Expectation
Chobani Smooth,4,It says real fruit but found none.  It was unexpected to have less sugar with as much sweetness as it had.  I'm also surprised it has more protein.,76.84,"['say', 'real', 'fruit', 'find', 'none', 'unexpected', 'less', 'sugar', 'much', 'sweetness', 'im', 'also', 'surprise', 'protein']",Meets Expectation
Chobani Original,3,,0,['nan'],Meets Expectation
Chobani Smooth,3,It was very watery...there was too much on the label making it hard to really see what makes it different from the other yogurts on the shelf,-10.27,"['waterythere', 'much', 'label', 'make', 'hard', 'really', 'see', 'make', 'different', 'yogurt', 'shelf']",Meets Expectation
Chobani Original,3,Nothing,0,['nothing'],Meets Expectation
Chobani Smooth,5,Fruit bites were unexpected since that information was on side of container and not easy to see. I think fruit bites should be on front of container and not side so it is easily visible. It would be nice to have nutrition facts on container too.,46.92,"['fruit', 'bite', 'unexpected', 'since', 'information', 'side', 'container', 'easy', 'see', 'think', 'fruit', 'bite', 'front', 'container', 'side', 'easily', 'visible', 'would', 'nice', 'nutrition', 'fact', 'container']",Meets Expectation
Chobani Original,4,%of protein,0,['protein'],Meets Expectation
Chobani Smooth,4,"I usually eat greek yogurt, so I was surprised that it was similar in protein. The package does a good job of describing the product.",62.22,"['usually', 'eat', 'greek', 'yogurt', 'surprise', 'similar', 'protein', 'package', 'good', 'job', 'describe', 'product']",Meets Expectation
Chobani Original,5,healthful benefits of greek yogurt and calories,38.18,"['healthful', 'benefit', 'greek', 'yogurt', 'calorie']",Meets Expectation
Chobani Smooth,4,I was surprised that nowhere on the package did it say to  Stir before consuming to get the best experience!,75,"['surprise', 'nowhere', 'package', 'say', 'stir', 'consume', 'get', 'best', 'experience']",Meets Expectation
Chobani Original,3,nothing unexpected,0,"['nothing', 'unexpected']",Meets Expectation
Chobani Smooth,4,,0,['nan'],Meets Expectation
Chobani Original,3,I don't think you need to say 0% milkfat AND non fat yogurt on the front packaging. It's the same thing...,0,"['dont', 'think', 'need', 'say', '0', 'milkfat', 'non', 'fat', 'yogurt', 'front', 'packaging', 'thing']",Meets Expectation
Chobani Smooth,3,says  full of real fruit  so I expected fruit chunks,0,"['say', 'full', 'real', 'fruit', 'expect', 'fruit', 'chunk']",Meets Expectation
Chobani Original,3,"Nothing, very straight forward",-22.22,"['nothing', 'straight', 'forward']",Meets Expectation
Chobani Smooth,1,I was surprised that there wasn't an ingredient list of nutrition label on the actual cup of yogurt itself.,22.63,"['surprised', 'wasnt', 'ingredient', 'list', 'nutrition', 'label', 'actual', 'cup', 'yogurt']",Meets Expectation
Chobani Original,3,Part almost gelatin taste. Did not have enough flavor.  Why restate non fat/0% milk fat?   Made will real fruit  felt like it was conveying a higher quantity of fruit than in contain.  Preserve yourself  makes it sound like there is something artificial to preserve you by eating.,61.24,"['part', 'almost', 'gelatin', 'taste', 'enough', 'flavor', 'restate', 'non', 'fat0', 'milk', 'fat', 'make', 'real', 'fruit', 'felt', 'like', 'convey', 'high', 'quantity', 'fruit', 'contain', 'preserve', 'make', 'sound', 'like', 'something', 'artificial', 'preserve', 'eat']",Meets Expectation
Chobani Smooth,4,Did not expect the thin-ness of the yogurt or the taste to be so sweet. Would have liked nutritional value and label on package including calorie count.,84.29,"['expect', 'thinness', 'yogurt', 'taste', 'sweet', 'would', 'like', 'nutritional', 'value', 'label', 'package', 'include', 'calorie', 'count']",Meets Expectation
Chobani Original,4,Just a little sour-not sure how that would be communicated on the package.,25.51,"['little', 'sournot', 'sure', 'would', 'communicate', 'package']",Meets Expectation
Chobani Smooth,3,"No change to packaging, although I didn't know Chobani made a non-Greek yogurt. I see the packaging says classic but I had initially missed it. not sure how I would recommend to change it to increase awareness.",9.18,"['change', 'packaging', 'although', 'didnt', 'know', 'chobani', 'make', 'nongreek', 'yogurt', 'see', 'packaging', 'say', 'classic', 'initially', 'missed', 'sure', 'would', 'recommend', 'change', 'increase', 'awareness']",Meets Expectation
Chobani Original,3,Nothing really was what I expected,0,"['nothing', 'really', 'expect']",Meets Expectation
Chobani Smooth,4,"nothing. The package was very clear,     When I said I would like it thicker, I prefer yougurts that are not thin in texure, even those that are not greek.",65.9,"['nothing', 'package', 'clear', 'say', 'would', 'like', 'thicker', 'prefer', 'yougurts', 'thin', 'texure', 'even', 'greek']",Meets Expectation
Chobani Original,4,I had had this yogurt before so I knew what to expect but I paid closer attention this time and it tasted even better with a strong strawberry flavor.,85.19,"['yogurt', 'know', 'expect', 'pay', 'closer', 'attention', 'time', 'taste', 'even', 'well', 'strong', 'strawberry', 'flavor']",Meets Expectation
Chobani Smooth,3,Would like the nutrition information on containers.,36.12,"['would', 'like', 'nutrition', 'information', 'container']",Meets Expectation
Chobani Original,3,The amount of fruit at the bottom is a little misleading.  Needs to be more fruit.,-34.15,"['amount', 'fruit', 'bottom', 'little', 'misleading', 'need', 'fruit']",Meets Expectation
Chobani Smooth,4,Did not expect fruit chunks being as it is supposed to be smooth,0,"['expect', 'fruit', 'chunk', 'suppose', 'smooth']",Meets Expectation
Chobani Original,2,The word  Greek  should be bigger/bolder to stand out more and the picture of the strawberry should be smaller,0,"['word', 'greek', 'biggerbolder', 'stand', 'picture', 'strawberry', 'small']",Meets Expectation
Chobani Smooth,4,"It did not have very much strawberry flavor. If this is the intention, then maybe describe it as  strawberry kiss  or something.",42.15,"['much', 'strawberry', 'flavor', 'intention', 'maybe', 'describe', 'strawberry', 'kiss', 'something']",Meets Expectation
Chobani Original,5,"The only thing i found confusing was the outside package label, it stated  Strawberries on the bottom . This gave me the impression the yogurt would be sitting on strawberries and the consumer would have to mix them together. However, I opened the yogurt without shaking it, and the yogurt and strawberries were already mixed together with a salmon color. Therefore, this aspect of the product was misguiding.",13.26,"['thing', 'find', 'confuse', 'outside', 'package', 'label', 'state', 'strawberry', 'bottom', 'give', 'impression', 'yogurt', 'would', 'sit', 'strawberry', 'consumer', 'would', 'mix', 'together', 'however', 'open', 'yogurt', 'without', 'shake', 'yogurt', 'strawberry', 'already', 'mixed', 'together', 'salmon', 'color', 'therefore', 'aspect', 'product', 'misguiding']",Meets Expectation
Chobani Smooth,3,I was surprised that this yogurt wasn't Greek yogurt. The packaging wasn't totally clear as I associate Chobani with Greek yogurt.,-12.82,"['surprised', 'yogurt', 'wasnt', 'greek', 'yogurt', 'packaging', 'wasnt', 'totally', 'clear', 'associate', 'chobani', 'greek', 'yogurt']",Meets Expectation
Chobani Original,3,Nothing unexpected- this is a yogurt I commonly buy.,0,"['nothing', 'unexpected', 'yogurt', 'commonly', 'buy']",Meets Expectation
Chobani Smooth,4,I was surprised by the amount of creaminess and also the limited number of chunks of fruit.,7.72,"['surprised', 'amount', 'creaminess', 'also', 'limit', 'number', 'chunk', 'fruit']",Meets Expectation
Chobani Original,4,Nothing - it has all the information I need and the information is easy to find.,44.04,"['nothing', 'information', 'need', 'information', 'easy', 'find']",Meets Expectation
Chobani Smooth,4,The current package does a great job on conveying the message of the yogurt type.,62.49,"['current', 'package', 'great', 'job', 'convey', 'message', 'yogurt', 'type']",Meets Expectation
Chobani Original,4,"When I buy for myself, I usually get Chobani that is already blended. That will change after this study, because I liked the flavor of this yogurt. The fruit on the bottom wasn't too chunky. I was expecting it to be more chunky. The fruit really cut the tartness that can be too much for me with plain greek yogurt. It was overall tastier than I was expecting.",10.45,"['buy', 'usually', 'get', 'chobani', 'already', 'blend', 'change', 'study', 'like', 'flavor', 'yogurt', 'fruit', 'bottom', 'wasnt', 'chunky', 'expect', 'chunky', 'fruit', 'really', 'cut', 'tartness', 'much', 'plain', 'greek', 'yogurt', 'overall', 'tastier', 'expect']",Meets Expectation
Chobani Smooth,4,"Smooth on the label made me think the consistency would be a bit thicker and creamier, but was still good!",63,"['smooth', 'label', 'make', 'think', 'consistency', 'would', 'bite', 'thicker', 'creamy', 'still', 'good']",Meets Expectation
Chobani Original,3,,0,['nan'],Meets Expectation
Chobani Smooth,4,"This yogurt was smoother and creamier than I expected, packaging is representing of the product.",0,"['yogurt', 'smoother', 'creamier', 'expect', 'packaging', 'represent', 'product']",Meets Expectation
Chobani Original,3,"NOTHING, I THINK THE PACKAGING SUITS THE PRODUCT.",0,"['nothing', 'think', 'package', 'suit', 'product']",Meets Expectation
Chobani Smooth,1,"I thought there would be pieces of fruit in there,,even though it said smoothe,,it did not have very much fruit taste, I think I would change the packaging to say  FLAVORED  with fruit",0,"['thought', 'would', 'piece', 'fruit', 'thereeven', 'though', 'say', 'smootheit', 'much', 'fruit', 'taste', 'think', 'would', 'change', 'package', 'say', 'flavor', 'fruit']",Meets Expectation
Chobani Original,3,Nothing,0,['nothing'],Meets Expectation
Chobani Smooth,5,nothing,0,['nothing'],Meets Expectation
Chobani Original,4,Emphasize the  non-fat  and  profits better the world,70.03,"['emphasize', 'nonfat', 'profit', 'well', 'world']",Meets Expectation
Chobani Smooth,4,"The package says pure milk and real fruit so I was expecting some fruit pieces.    I usually consider  blended  to mean no fruit pieces so even though this one said  smooth,  I thought there would be bits of the real fruit mentioned on the package.    Otherwise, I thought the package described the yogurt very well.",4.98,"['package', 'say', 'pure', 'milk', 'real', 'fruit', 'expect', 'fruit', 'piece', 'usually', 'consider', 'blended', 'mean', 'fruit', 'piece', 'even', 'though', 'one', 'say', 'smooth', 'thought', 'would', 'bits', 'real', 'fruit', 'mention', 'package', 'otherwise', 'thought', 'package', 'describe', 'yogurt', 'well']",Meets Expectation
Chobani Original,2,The large fresh-looking strawberries on the packaging are a bit misleading as it looks like you're going to experience a fresher fruit jam than what was actually in there.,-5.16,"['large', 'freshlooking', 'strawberry', 'package', 'bit', 'misleading', 'look', 'like', 'youre', 'go', 'experience', 'fresher', 'fruit', 'jam', 'actually']",Meets Expectation
Chobani Smooth,4,"Nothing unexpected, but I think it was wise to have  classic  underlined as at first glance I thought it was greek yogurt..but I assume in a food aisle it may be differentiated by location and that it would be understood.",63.1,"['nothing', 'unexpected', 'think', 'wise', 'classic', 'underline', 'first', 'glance', 'think', 'greek', 'yogurtbut', 'assume', 'food', 'aisle', 'may', 'differentiate', 'location', 'would', 'understand']",Meets Expectation
Chobani Original,4,nothing,0,['nothing'],Meets Expectation
Chobani Smooth,5,no big chunks of fruit was unexpected.  the packaging should say  non-Greek  as Chobani is associated with Greek style yogurt,-29.6,"['big', 'chunk', 'fruit', 'unexpected', 'packaging', 'say', 'nongreek', 'chobani', 'associate', 'greek', 'style', 'yogurt']",Meets Expectation
Chobani Original,4,"The consistency was smooth even while the yogurt itself was more substantial.  That was very pleasing. If I'm going to consume something that represents between 5 and 10% of my daily caloric intake, I would like it to feel substantial/filling.",80.67,"['consistency', 'smooth', 'even', 'yogurt', 'substantial', 'please', 'im', 'go', 'consume', 'something', 'represent', '5', '10', 'daily', 'caloric', 'intake', 'would', 'like', 'feel', 'substantialfilling']",Meets Expectation
Chobani Smooth,3,No calories or nutrition information on the package which I look at right away,-29.6,"['calorie', 'nutrition', 'information', 'package', 'look', 'right', 'away']",Meets Expectation
Chobani Original,3,just how long it took to mix the fruit in,0,"['long', 'take', 'mix', 'fruit']",Meets Expectation
Chobani Smooth,5,It had better flavor than I thought it would.,44.04,"['well', 'flavor', 'thought', 'would']",Meets Expectation
Chobani Original,3,nothing,0,['nothing'],Meets Expectation
Chobani Smooth,5,"Well because it's Chobani, I assume it to be a greek yogurt and so because it's not thick like greek yogurt, it throws me off. I would also like to know how the sugar is being reduced. Is it a sugar substitute? I see the package says all natural and non gmo but I'd still like to see the ingredients. The package also says real fruit, so I'd like to see some fruit in it.",-62.98,"['well', 'chobani', 'assume', 'greek', 'yogurt', 'thick', 'like', 'greek', 'yogurt', 'throw', 'would', 'also', 'like', 'know', 'sugar', 'reduce', 'sugar', 'substitute', 'see', 'package', 'say', 'natural', 'non', 'gmo', 'id', 'still', 'like', 'see', 'ingredient', 'package', 'also', 'say', 'real', 'fruit', 'id', 'like', 'see', 'fruit']",Meets Expectation
Chobani Original,3,No aftertaste that usually accompanies a lot of Greek yogurt,-29.6,"['aftertaste', 'usually', 'accompany', 'lot', 'greek', 'yogurt']",Meets Expectation
Chobani Smooth,4,"it tastes more greek (concentrated, thicker) than I expected. I was assuming it would be more french (yoplait - thiner) style",0,"['taste', 'greek', 'concentrate', 'thicker', 'expect', 'assume', 'would', 'french', 'yoplait', 'thiner', 'style']",Meets Expectation
Chobani Original,3,Less yogurt same size container is in reality false advertising. It makes me wonder if your quality has downsized as well.,27.32,"['less', 'yogurt', 'size', 'container', 'reality', 'false', 'advertising', 'make', 'wonder', 'quality', 'downsize', 'well']",Meets Expectation
Chobani Smooth,4,I like the product's package. Excepted it seemed like the product was only half full. I also like less strawberry pieces.,75.79,"['like', 'product', 'package', 'except', 'seem', 'like', 'product', 'half', 'full', 'also', 'like', 'less', 'strawberry', 'piece']",Meets Expectation
Chobani Original,3,Nothing,0,['nothing'],Meets Expectation
