product_code,liking,liking_free_text,like_compound,meets_expectation,meets_expectation_free_text,meets_expectation_compound,product_improvement_free_text,prod_improve_compound,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,product_improvement_free_text_no_punc_tokenized_no_stop_lemm
Chobani Smooth,8,"I like the smooth and creamy texture and awesome taste, which was not too sweet.",0.6273,4,"This yogurt was smoother and creamier than I expected, packaging is representing of the product.",0,"I would have enjoyed more fruit chunks in the yogurt, but everything else about it I liked.",0.705,"['like', 'smooth', 'creamy', 'texture', 'awesome', 'taste', 'sweet']","['yogurt', 'smoother', 'creamier', 'expect', 'packaging', 'represent', 'product']","['would', 'enjoy', 'fruit', 'chunk', 'yogurt', 'everything', 'else', 'like']"
Yoplait OSY,8,LOTS OF FRUIT IN THE CUP. GOOD FLAVOR. VERY FILLING,0.4404,3,"NOTHING, I THINK THE PACKAGING SUITS THE PRODUCT.",0,THERE CAN ALWAYS BE MORE FRUIT.,0,"['lot', 'fruit', 'cup', 'good', 'flavor', 'filling']","['nothing', 'think', 'package', 'suit', 'product']","['always', 'fruit']"
Chobani Smooth,6,Creamy,0,1,"I thought there would be pieces of fruit in there,,even though it said smoothe,,it did not have very much fruit taste, I think I would change the packaging to say  FLAVORED  with fruit",0,Has an aftertaste and needs more fruit mixed in.,0,['creamy'],"['thought', 'would', 'piece', 'fruit', 'thereeven', 'though', 'say', 'smootheit', 'much', 'fruit', 'taste', 'think', 'would', 'change', 'package', 'say', 'flavor', 'fruit']","['aftertaste', 'need', 'fruit', 'mixed']"
Yoplait OSY,8,Mixture of fruit pieces with yogurt.  Only 120 calories.,0,3,Nothing,0,"Have pre-stirred, mixing fruit pieces with yogurt.",0,"['mixture', 'fruit', 'piece', 'yogurt', '120', 'calorie']",['nothing'],"['prestirred', 'mix', 'fruit', 'piece', 'yogurt']"
Chobani Smooth,9,It tasted like fresh fruit and was very filling.,0.5859,5,nothing,0,Nothing,0,"['taste', 'like', 'fresh', 'fruit', 'filling']",['nothing'],['nothing']
Yoplait OSY,9,Texture  Protein content  Consistency  Real fruit  Amount  Fullness,0,4,Emphasize the  non-fat  and  profits better the world,0.7003,More real fruit,0,"['texture', 'protein', 'content', 'consistency', 'real', 'fruit', 'amount', 'fullness']","['emphasize', 'nonfat', 'profit', 'well', 'world']","['real', 'fruit']"
Chobani Smooth,8,I liked the texture.  It was very smooth and creamy.  I liked that it wasn't too sweet.  It had a  clean  taste with no artificial or unpleasant aftertaste.,0.1331,4,"The package says pure milk and real fruit so I was expecting some fruit pieces.    I usually consider  blended  to mean no fruit pieces so even though this one said  smooth,  I thought there would be bits of the real fruit mentioned on the package.    Otherwise, I thought the package described the yogurt very well.",0.0498,I would like a little bit more fruit flavor and pieces of fruit.,0.3612,"['liked', 'texture', 'smooth', 'creamy', 'like', 'wasnt', 'sweet', 'clean', 'taste', 'artificial', 'unpleasant', 'aftertaste']","['package', 'say', 'pure', 'milk', 'real', 'fruit', 'expect', 'fruit', 'piece', 'usually', 'consider', 'blended', 'mean', 'fruit', 'piece', 'even', 'though', 'one', 'say', 'smooth', 'thought', 'would', 'bits', 'real', 'fruit', 'mention', 'package', 'otherwise', 'thought', 'package', 'describe', 'yogurt', 'well']","['would', 'like', 'little', 'bit', 'fruit', 'flavor', 'piece', 'fruit']"
Yoplait OSY,7,"I thought the actual yogurt was good, creamy, smooth and filling like I expect of greek yogurts. The packaging is eye pleasing.",0.8316,2,The large fresh-looking strawberries on the packaging are a bit misleading as it looks like you're going to experience a fresher fruit jam than what was actually in there.,-0.0516,"I tend to not like  fruit on the bottom  yogurts and this yogurt did not sway me to like it better. I wish there was a way for yogurt makers to have more of a fresh fruit, or even a fresher seeming  jam  in their yogurts but probably that wouldn't keep well enough. In any case, I didn't care for the strawberry jam that was added, or at least not enough to make me want to purchase it.",-0.4086,"['think', 'actual', 'yogurt', 'good', 'creamy', 'smooth', 'fill', 'like', 'expect', 'greek', 'yogurt', 'package', 'eye', 'pleasing']","['large', 'freshlooking', 'strawberry', 'package', 'bit', 'misleading', 'look', 'like', 'youre', 'go', 'experience', 'fresher', 'fruit', 'jam', 'actually']","['tend', 'like', 'fruit', 'bottom', 'yogurt', 'yogurt', 'sway', 'like', 'good', 'wish', 'way', 'yogurt', 'maker', 'fresh', 'fruit', 'even', 'fresher', 'seem', 'jam', 'yogurt', 'probably', 'wouldnt', 'keep', 'well', 'enough', 'case', 'didnt', 'care', 'strawberry', 'jam', 'add', 'least', 'enough', 'make', 'want', 'purchase']"
Chobani Smooth,7,"That it is smooth and creamy, has less sugar, is higher in protein than other regular yogurts. However, I my still opt for Greek yogurts that have a bit higher protein.  I like that it is non-GMO. The price is reasonable. I like that the fruit was blended in.",0.6124,4,"Nothing unexpected, but I think it was wise to have  classic  underlined as at first glance I thought it was greek yogurt..but I assume in a food aisle it may be differentiated by location and that it would be understood.",0.631,Make it thicker; the consistency was a bit too thin.Sugar content still seems a bit high for being 25% less.,0,"['smooth', 'creamy', 'less', 'sugar', 'high', 'protein', 'regular', 'yogurt', 'however', 'still', 'opt', 'greek', 'yogurt', 'bit', 'high', 'protein', 'like', 'nongmo', 'price', 'reasonable', 'like', 'fruit', 'blend']","['nothing', 'unexpected', 'think', 'wise', 'classic', 'underline', 'first', 'glance', 'think', 'greek', 'yogurtbut', 'assume', 'food', 'aisle', 'may', 'differentiate', 'location', 'would', 'understand']","['make', 'thicker', 'consistency', 'bit', 'thinsugar', 'content', 'still', 'seem', 'bit', 'high', '25', 'less']"
Yoplait OSY,8,"Thick and creamy  real strawberries gave it a good flavor, plus chunks of berries  5 grams of live cultures,  12 g. protein",0.4404,4,nothing,0,nothing,0,"['thick', 'creamy', 'real', 'strawberry', 'give', 'good', 'flavor', 'plus', 'chunks', 'berry', '5', 'gram', 'live', 'culture', '12', 'g', 'protein']",['nothing'],['nothing']
Chobani Smooth,8,"color, consistency, no big chunks of fruit",-0.296,5,no big chunks of fruit was unexpected.  the packaging should say  non-Greek  as Chobani is associated with Greek style yogurt,-0.296,less sweet.  more fruit flavor,0.4033,"['color', 'consistency', 'big', 'chunk', 'fruit']","['big', 'chunk', 'fruit', 'unexpected', 'packaging', 'say', 'nongreek', 'chobani', 'associate', 'greek', 'style', 'yogurt']","['less', 'sweet', 'fruit', 'flavor']"
Yoplait OSY,8,There is a lovely thickness to this product. I really liked the consistency and weight of it.  It  felt  like a substantial treat. The fruit flavor adds pops of interest.,0.9422,4,"The consistency was smooth even while the yogurt itself was more substantial.  That was very pleasing. If I'm going to consume something that represents between 5 and 10% of my daily caloric intake, I would like it to feel substantial/filling.",0.8067,"As with most Greek yogurt, there is a slight aftertaste. It isn't exactly unpleasant, but it is noticeable. Perhaps it is unavoidable.",0.1967,"['lovely', 'thickness', 'product', 'really', 'liked', 'consistency', 'weight', 'felt', 'like', 'substantial', 'treat', 'fruit', 'flavor', 'add', 'pops', 'interest']","['consistency', 'smooth', 'even', 'yogurt', 'substantial', 'please', 'im', 'go', 'consume', 'something', 'represent', '5', '10', 'daily', 'caloric', 'intake', 'would', 'like', 'feel', 'substantialfilling']","['greek', 'yogurt', 'slight', 'aftertaste', 'isnt', 'exactly', 'unpleasant', 'noticeable', 'perhaps', 'unavoidable']"
Chobani Smooth,8,"Texture, flavor and not having the fruit on the bottom",0,3,No calories or nutrition information on the package which I look at right away,-0.296,,0,"['texture', 'flavor', 'fruit', 'bottom']","['calorie', 'nutrition', 'information', 'package', 'look', 'right', 'away']",['nan']
Yoplait OSY,7,i like that it is creamy and has big pieces of fruit,0.3612,3,just how long it took to mix the fruit in,0,you have to stir it for a long time to mix it all in,0,"['like', 'creamy', 'big', 'piece', 'fruit']","['long', 'take', 'mix', 'fruit']","['stir', 'long', 'time', 'mix']"
Chobani Smooth,8,"It  was smooth & Creamy, It had the right amount of sweetness and overall great flavor.",0.8074,5,It had better flavor than I thought it would.,0.4404,I wouldn't change a thing.,0,"['smooth', 'creamy', 'right', 'amount', 'sweetness', 'overall', 'great', 'flavor']","['well', 'flavor', 'thought', 'would']","['wouldnt', 'change', 'thing']"
Yoplait OSY,8,creamy,0,3,nothing,0,make it sweeter,0,['creamy'],['nothing'],"['make', 'sweeter']"
Chobani Smooth,8,The taste is great!,0.6588,5,"Well because it's Chobani, I assume it to be a greek yogurt and so because it's not thick like greek yogurt, it throws me off. I would also like to know how the sugar is being reduced. Is it a sugar substitute? I see the package says all natural and non gmo but I'd still like to see the ingredients. The package also says real fruit, so I'd like to see some fruit in it.",-0.6298,It's a little watery. I'd like to see some strawberry in it.,0.3041,"['taste', 'great']","['well', 'chobani', 'assume', 'greek', 'yogurt', 'thick', 'like', 'greek', 'yogurt', 'throw', 'would', 'also', 'like', 'know', 'sugar', 'reduce', 'sugar', 'substitute', 'see', 'package', 'say', 'natural', 'non', 'gmo', 'id', 'still', 'like', 'see', 'ingredient', 'package', 'also', 'say', 'real', 'fruit', 'id', 'like', 'see', 'fruit']","['little', 'watery', 'id', 'like', 'see', 'strawberry']"
Yoplait OSY,7,"Pieces of fruit were perfect size,  not too big and blended in well with the yogurt.",0.7003,3,No aftertaste that usually accompanies a lot of Greek yogurt,-0.296,If there was a way to make it creamier and to bring out a little more of the strawberry flavor,0,"['piece', 'fruit', 'perfect', 'size', 'big', 'blend', 'well', 'yogurt']","['aftertaste', 'usually', 'accompany', 'lot', 'greek', 'yogurt']","['way', 'make', 'creamy', 'bring', 'little', 'strawberry', 'flavor']"
Chobani Smooth,8,creaminess with a little tang,0,4,"it tastes more greek (concentrated, thicker) than I expected. I was assuming it would be more french (yoplait - thiner) style",0,a little more fruit flavor,0,"['creaminess', 'little', 'tang']","['taste', 'greek', 'concentrate', 'thicker', 'expect', 'assume', 'would', 'french', 'yoplait', 'thiner', 'style']","['little', 'fruit', 'flavor']"
Yoplait OSY,8,"Non-GMO, live cultured robiotics good for digestion health, made w/real fruit, cane sugar, taste, texture.",0.4404,3,Less yogurt same size container is in reality false advertising. It makes me wonder if your quality has downsized as well.,0.2732,Because you are giving us less yogurt in the same size container. It looks very unappealing - shriveled up yogurt sitting in whey.  It looks spoilt. People eat with their eyes.   I would never pay $1.55 for this. Spend your money on product not advertising. People aren't as stupid as you think. The containers are pretty butyou are downsizing content.  No longer enough to make a quick breakfast or lunch.,0.7559,"['nongmo', 'live', 'culture', 'robiotics', 'good', 'digestion', 'health', 'make', 'wreal', 'fruit', 'cane', 'sugar', 'taste', 'texture']","['less', 'yogurt', 'size', 'container', 'reality', 'false', 'advertising', 'make', 'wonder', 'quality', 'downsize', 'well']","['give', 'u', 'less', 'yogurt', 'size', 'container', 'look', 'unappealing', 'shrivel', 'yogurt', 'sit', 'whey', 'look', 'spoilt', 'people', 'eat', 'eye', 'would', 'never', 'pay', '155', 'spend', 'money', 'product', 'advertising', 'people', 'arent', 'stupid', 'think', 'container', 'pretty', 'butyou', 'downsize', 'content', 'longer', 'enough', 'make', 'quick', 'breakfast', 'lunch']"
Chobani Smooth,7,Texture and flavor,0,4,I like the product's package. Excepted it seemed like the product was only half full. I also like less strawberry pieces.,0.7579,Nothing,0,"['texture', 'flavor']","['like', 'product', 'package', 'except', 'seem', 'like', 'product', 'half', 'full', 'also', 'like', 'less', 'strawberry', 'piece']",['nothing']
Yoplait OSY,8,The taste & creaminess was very good. I like that there were some little chunks of strawberries so you could really tell there were berries in the yogurt.,0.7159,3,Nothing,0,It seemed a little thin for greek yogurt.,0,"['taste', 'creaminess', 'good', 'like', 'little', 'chunk', 'strawberry', 'could', 'really', 'tell', 'berry', 'yogurt']",['nothing'],"['seem', 'little', 'thin', 'greek', 'yogurt']"
Chobani Smooth,8,"It's creamy, flavorful, (on the edge of) but not too sweet, fruity smelling and tasting, a bit tangy and affordable.",-0.4973,4,"Looks a bit  like a generic brand design, 2x protein and less sugar was a nice surprise and non GMO is a great plus",0.8817,add piece of strawberry,0,"['creamy', 'flavorful', 'edge', 'sweet', 'fruity', 'smell', 'taste', 'bit', 'tangy', 'affordable']","['look', 'bit', 'like', 'generic', 'brand', 'design', '2x', 'protein', 'less', 'sugar', 'nice', 'surprise', 'non', 'gmo', 'great', 'plus']","['add', 'piece', 'strawberry']"
Yoplait OSY,8,Thickness and great fruit flavor,0.6249,4,Nothing,0,Nothing,0,"['thickness', 'great', 'fruit', 'flavor']",['nothing'],['nothing']
Chobani Smooth,4,I like the packaging,0.3612,2,This product was neither smooth nor mild as the container label states.,0,"The consistency is thinner than I prefer.  The package indicates this is a  mild  yogurt, but I find it to be quite sour, more like a Greek style yogurt.  The package states this is a  smooth  yogurt, but there are several small chunks of fruit in it.",0.6231,"['like', 'packaging']","['product', 'neither', 'smooth', 'mild', 'container', 'label', 'state']","['consistency', 'thinner', 'prefer', 'package', 'indicate', 'mild', 'yogurt', 'find', 'quite', 'sour', 'like', 'greek', 'style', 'yogurt', 'package', 'state', 'smooth', 'yogurt', 'several', 'small', 'chunk', 'fruit']"
Yoplait OSY,8,Good flavor and it was very smooth.,0.4404,4,I din't think I would like the taste very much but I did.,-0.1419,I would have liked to have seen actual strawberry pieces instead of the jelly-like substance at the bottom of the container.,0.4215,"['good', 'flavor', 'smooth']","['dint', 'think', 'would', 'like', 'taste', 'much']","['would', 'like', 'see', 'actual', 'strawberry', 'piece', 'instead', 'jellylike', 'substance', 'bottom', 'container']"
Chobani Smooth,7,"I liked the overall strawberry flavor and that it was already mixed in, versus being fruit on the bottom that had to be stirred in. I also liked that it was so smooth and creamy. It was light, flavorful, and filling. It would make a great addition to a meal or a healthy snack.",0.9081,3,"Having eaten quite a bit of Chobani Greek Yogurt in the past, I was not expecting it to be so smooth (even though the package expressly stated it was smooth, like classic yogurt).",0.3612,"First, while I liked the smooth, creamy texture, it was slightly too runny. I would like it to have a little more consistency.     Second, it had an odd aftertaste - almost like fake sugar or too much sugar.",0.3976,"['like', 'overall', 'strawberry', 'flavor', 'already', 'mixed', 'versus', 'fruit', 'bottom', 'stir', 'also', 'like', 'smooth', 'creamy', 'light', 'flavorful', 'filling', 'would', 'make', 'great', 'addition', 'meal', 'healthy', 'snack']","['eaten', 'quite', 'bit', 'chobani', 'greek', 'yogurt', 'past', 'expect', 'smooth', 'even', 'though', 'package', 'expressly', 'state', 'smooth', 'like', 'classic', 'yogurt']","['first', 'like', 'smooth', 'creamy', 'texture', 'slightly', 'runny', 'would', 'like', 'little', 'consistency', 'second', 'odd', 'aftertaste', 'almost', 'like', 'fake', 'sugar', 'much', 'sugar']"
Yoplait OSY,7,the amount of protein and had lots of flavor.,0,3,,0,Lower price.,-0.296,"['amount', 'protein', 'lot', 'flavor']",['nan'],"['low', 'price']"
Chobani Smooth,7,I like the flavor and there was no after taste for me. The texture is nice and smooth.,0.4767,3,I thought it would be thicker.,0,I would like it a little thicker.,0.3612,"['like', 'flavor', 'taste', 'texture', 'nice', 'smooth']","['thought', 'would', 'thicker']","['would', 'like', 'little', 'thicker']"
Yoplait OSY,9,Good flavor and I like the fruit chunks.,0.6597,5,Mix before eating fruit on the bottom.,0,Mixing of the yogurt and make the cup bigger so it's slightly easier to mix.  Also if you don't mix it correctly you get a bitter taste.,-0.0076,"['good', 'flavor', 'like', 'fruit', 'chunk']","['mix', 'eat', 'fruit', 'bottom']","['mix', 'yogurt', 'make', 'cup', 'big', 'slightly', 'easy', 'mix', 'also', 'dont', 'mix', 'correctly', 'get', 'bitter', 'taste']"
Chobani Smooth,2,The texture and color look good,0.4404,1,I thought it would be sweeter,0,Its too sour and has a horrible after taste,-0.5423,"['texture', 'color', 'look', 'good']","['thought', 'would', 'sweeter']","['sour', 'horrible', 'taste']"
Yoplait OSY,7,the flavor is good.,0.4404,3,little thinner than other greek yogurt,0,texture is off just a little,0,"['flavor', 'good']","['little', 'thinner', 'greek', 'yogurt']","['texture', 'little']"
Chobani Smooth,6,Strawberry flavor was good.  Also the tangyness of the greek yogurt was perfect.,0.765,4,The tangyness was unexpected in a good way.  Package itself set my expectations of what was inside.,0.4404,More fresh strawberry pieces.,0.3804,"['strawberry', 'flavor', 'good', 'also', 'tangyness', 'greek', 'yogurt', 'perfect']","['tangyness', 'unexpected', 'good', 'way', 'package', 'set', 'expectation', 'inside']","['fresh', 'strawberry', 'piece']"
Yoplait OSY,9,It tastes like actual strawberries.  It's not unnaturally pink.  It's sweet enough.  The yogurt is easy to get at -- there's no lip to the container that you have to scoop under.,0.7783,4,"I didn't realize that this was a non-GMO product.  I don't think that I've heard that evaporated cane sugar was an ingredient.  I appreciate that the slogan was punctuated correctly, with the period inside of the quotation marks:  We believe fruit should come in pieces, not  flavors.",0.4019,It could be a little less sweet and still be very good.  A little more fruit would be nice.,0.8137,"['taste', 'like', 'actual', 'strawberry', 'unnaturally', 'pink', 'sweet', 'enough', 'yogurt', 'easy', 'get', 'there', 'lip', 'container', 'scoop']","['didnt', 'realize', 'nongmo', 'product', 'dont', 'think', 'ive', 'heard', 'evaporate', 'cane', 'sugar', 'ingredient', 'appreciate', 'slogan', 'punctuate', 'correctly', 'period', 'inside', 'quotation', 'mark', 'believe', 'fruit', 'come', 'piece', 'flavor']","['could', 'little', 'less', 'sweet', 'still', 'good', 'little', 'fruit', 'would', 'nice']"
Chobani Smooth,7,"Very smooth, low fat, small chunks of strawberry",-0.3353,3,I think it does a good job representing itself. It is much smoother than what i usually purchase. I like how big a it states  Smooth  on it.,0.6597,Stronger Strawberry flavor,0.3818,"['smooth', 'low', 'fat', 'small', 'chunk', 'strawberry']","['think', 'good', 'job', 'represent', 'much', 'smoother', 'usually', 'purchase', 'like', 'big', 'state', 'smooth']","['strong', 'strawberry', 'flavor']"
Yoplait OSY,9,"Thick,  creamy, not too sweet with a slight tang, fruit on the bottom, with some pieces of fruit, container was big enough to mix the fruit with the yoghurt.",-0.357,5,I did not find anything unexpected.,0,This particular product there wasn't much I would change.,0,"['thick', 'creamy', 'sweet', 'slight', 'tang', 'fruit', 'bottom', 'piece', 'fruit', 'container', 'big', 'enough', 'mix', 'fruit', 'yoghurt']","['find', 'anything', 'unexpected']","['particular', 'product', 'wasnt', 'much', 'would', 'change']"
Chobani Smooth,1,"I liked the texture.  It was very smooth, there were not any chunks in it.  I also liked the  color of the product.  The  coloring seemed very natural.  The price of the product is very good too.",0.8906,1,The over-powering taste of sour milk.  I really could not get past that.,0,The flavor.  I found it to have a very over-powering taste of sour milk.,0,"['liked', 'texture', 'smooth', 'chunk', 'also', 'like', 'color', 'product', 'coloring', 'seem', 'natural', 'price', 'product', 'good']","['overpower', 'taste', 'sour', 'milk', 'really', 'could', 'get', 'past']","['flavor', 'find', 'overpower', 'taste', 'sour', 'milk']"
Yoplait OSY,6,Texture of the yogurt,0,3,Like the picture of the strawberry. It tells me what is inside.,0.3612,More fruit on the bottom,0,"['texture', 'yogurt']","['like', 'picture', 'strawberry', 'tell', 'inside']","['fruit', 'bottom']"
Chobani Smooth,7,"The smooth, creamy texture.  The flavor was sweet, but no too sweet to be overpowering.",0.4939,4,"I was somewhat expecting pieces of fruit in it, even if just small pieces.",0,The aftertaste lingers a little more than I would prefer.,0,"['smooth', 'creamy', 'texture', 'flavor', 'sweet', 'sweet', 'overpowering']","['somewhat', 'expect', 'piece', 'fruit', 'even', 'small', 'piece']","['aftertaste', 'lingers', 'little', 'would', 'prefer']"
Yoplait OSY,8,"it is thick and creamy, good flavor",0.4404,4,I think maybe the sugar content.  Also when you first open the container the separation is not very appealing,0,"I am not a huge fan of fruit on the bottom yogurt.  So  maybe blended?  Also maybe a bit less sugar, but still keeping it sweet tasting",0.4657,"['thick', 'creamy', 'good', 'flavor']","['think', 'maybe', 'sugar', 'content', 'also', 'first', 'open', 'container', 'separation', 'appeal']","['huge', 'fan', 'fruit', 'bottom', 'yogurt', 'maybe', 'blend', 'also', 'maybe', 'bit', 'less', 'sugar', 'still', 'keep', 'sweet', 'tasting']"
Chobani Smooth,8,Very smooth and tasty.,0,4,That it contained 2X the protein.,0,Nothing.,0,"['smooth', 'tasty']","['contain', '2x', 'protein']",['nothing']
Yoplait OSY,8,Thick and creamy texture. Pleasant flavor. No after taste.,0.2732,4,"I am impressed with the 15% Calcium, great taste and 0% milk fat!",0.8172,Lower the price.,-0.296,"['thick', 'creamy', 'texture', 'pleasant', 'flavor', 'taste']","['impressed', '15', 'calcium', 'great', 'taste', '0', 'milk', 'fat']","['low', 'price']"
Chobani Smooth,8,Very smooth and creamy.  Lowfat usually has a funny taste to me but this product did not.  The packaging is appealing and I like that the word smooth is highlighted.  I like the cost (2 for $1.75).,0.8151,5,The yogurt does not have an aftertaste which is often common with lowfat products.  The packaging should show the word  lowfat  better as that may make a difference to many.,0.4404,Very little.  Perhaps a tad more strawberry flavoring.,0,"['smooth', 'creamy', 'lowfat', 'usually', 'funny', 'taste', 'product', 'packaging', 'appeal', 'like', 'word', 'smooth', 'highlight', 'like', 'cost', '2', '175']","['yogurt', 'aftertaste', 'often', 'common', 'lowfat', 'product', 'package', 'show', 'word', 'lowfat', 'well', 'may', 'make', 'difference', 'many']","['little', 'perhaps', 'tad', 'strawberry', 'flavor']"
Yoplait OSY,7,The flavor of the yogurt is something that I enjoy the most.  The texture of the yogurt was smooth.,0.4939,3,I think the package did a good job of representing the yogurt.,0.4404,Nothing,0,"['flavor', 'yogurt', 'something', 'enjoy', 'texture', 'yogurt', 'smooth']","['think', 'package', 'good', 'job', 'represent', 'yogurt']",['nothing']
Chobani Smooth,8,Has a good flavor and not too sweet.  Smooth texture like stated on the package.  Often non-greek yogurts taste so sugary and this one did not.,0.4442,5,The packaging represents the product well.  What I found unexpected was the sweetness.  It had a good fruit flavor that wasn't overpowered by sugar taste.,0.802,It is a bit runny/watery/thin.  I would like it a little bit thicker.,0.3612,"['good', 'flavor', 'sweet', 'smooth', 'texture', 'like', 'state', 'package', 'often', 'nongreek', 'yogurt', 'taste', 'sugary', 'one']","['packaging', 'represent', 'product', 'well', 'found', 'unexpected', 'sweetness', 'good', 'fruit', 'flavor', 'wasnt', 'overpower', 'sugar', 'taste']","['bit', 'runnywaterythin', 'would', 'like', 'little', 'bit', 'thicker']"
Yoplait OSY,7,I liked the flavor of the yougart and the mix in stuff and the packaging of the product.,0.4215,3,Unexpected was the amoun the small amount of yougart in the actual container. I would change nothing on the packaging.,0,"I don't know if you can change this, but when initially opening the container the first thing I saw was the water from the yougart. Also at the first appearance the mix in fuit is not visually appealing, looks like jelly thrown into the yougart container.    Do not like that the container is only half full if that, fill up the cup atleast 3/4 of the way or use a smaller container, otherwise it is disappointing and a waste.",-0.3612,"['like', 'flavor', 'yougart', 'mix', 'stuff', 'packaging', 'product']","['unexpected', 'amoun', 'small', 'amount', 'yougart', 'actual', 'container', 'would', 'change', 'nothing', 'packaging']","['dont', 'know', 'change', 'initially', 'open', 'container', 'first', 'thing', 'saw', 'water', 'yougart', 'also', 'first', 'appearance', 'mix', 'fuit', 'visually', 'appeal', 'look', 'like', 'jelly', 'thrown', 'yougart', 'container', 'like', 'container', 'half', 'full', 'fill', 'cup', 'atleast', '34', 'way', 'use', 'small', 'container', 'otherwise', 'disappointing', 'waste']"
Chobani Smooth,7,it was very smooth,0,4,How smooth the yogurt was.,0,Strawberry flavor was just a tad bitter,-0.4215,['smooth'],"['smooth', 'yogurt']","['strawberry', 'flavor', 'tad', 'bitter']"
Yoplait OSY,8,The chunks of strawberry in it.,0,4,Nothing unexpected. I like all the info on the packaging,-0.2755,Nothing,0,"['chunk', 'strawberry']","['nothing', 'unexpected', 'like', 'info', 'packaging']",['nothing']
Chobani Smooth,8,Very creamy with chunks of real fruit.  11 grams of protein.,0,4,Real chunks of strawberries.,0,A little thin.,0,"['creamy', 'chunk', 'real', 'fruit', '11', 'gram', 'protein']","['real', 'chunk', 'strawberry']","['little', 'thin']"
Yoplait OSY,8,The flavor is good and the texture is creamy.,0.4404,5,The flavor was better than I remember Chobani tasting in the past.,0.4404,nothing,0,"['flavor', 'good', 'texture', 'creamy']","['flavor', 'well', 'remember', 'chobani', 'taste', 'past']",['nothing']
Chobani Smooth,8,It really tasted like fresh strawberry.  There was a lot of pieces fruit in it. It was not chalky.,0.6533,5,I did not expect this great flavor. It really stood out. The package was really hard to read on the ingredients and nutrition label. The res with the white writing was really hard to see.,0.5406,"I would make it a little thicker, The consistency was a little runny.",0,"['really', 'taste', 'like', 'fresh', 'strawberry', 'lot', 'piece', 'fruit', 'chalky']","['expect', 'great', 'flavor', 'really', 'stood', 'package', 'really', 'hard', 'read', 'ingredient', 'nutrition', 'label', 'res', 'white', 'write', 'really', 'hard', 'see']","['would', 'make', 'little', 'thicker', 'consistency', 'little', 'runny']"
Yoplait OSY,8,Strawberry flavor was perfect & I liked the thick consistency.,0.7579,4,I would change the price.  It seems too high for just one.,0,Make the serving size larger for that price.,0,"['strawberry', 'flavor', 'perfect', 'like', 'thick', 'consistency']","['would', 'change', 'price', 'seem', 'high', 'one']","['make', 'serve', 'size', 'large', 'price']"
